2025-03-15 07:09:46 root         INFO     Starting GetRecords Consumer
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': '98a5a524-3503-4b4b-b778-c1d0e2cdcd06', 'customer_number': 295, 'city': 'Central Hong Kong', 'country': 'Hong Kong', 'credit_limit': 127457, 'browse_history': [{'product_code': 'S10_4757', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S18_4409', 'quantity': '6', 'in_shopping_cart': True}, {'product_code': 'S700_2824', 'quantity': '7', 'in_shopping_cart': True}, {'product_code': 'S700_2466', 'quantity': '1', 'in_shopping_cart': False}, {'product_code': 'S24_2011', 'quantity': '3', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 177237), 'overall_product_quantity': 19, 'overall_in_shopping_cart': 16, 'total_different_products': 5}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634940819568592768258463334662146 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': '9048474b-4481-46c3-8f68-ef92a77ec1f2', 'customer_number': 478, 'city': 'Cowes', 'country': 'UK', 'credit_limit': 81181, 'browse_history': [{'product_code': 'S24_4278', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S18_2870', 'quantity': '4', 'in_shopping_cart': True}, {'product_code': 'S12_3990', 'quantity': '6', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49661430595037831695102805870407252936318145674541531138
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': '9048474b-4481-46c3-8f68-ef92a77ec1f2', 'customer_number': 478, 'city': 'Cowes', 'country': 'UK', 'credit_limit': 81181, 'browse_history': [{'product_code': 'S24_4278', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S18_2870', 'quantity': '4', 'in_shopping_cart': True}, {'product_code': 'S12_3990', 'quantity': '6', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 202019), 'overall_product_quantity': 19, 'overall_in_shopping_cart': 10, 'total_different_products': 3}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634940835284628423248642605842434 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': '92ba9902-0fda-4bd2-b475-701f19234a52', 'customer_number': 266, 'city': 'Münster', 'country': 'Germany', 'credit_limit': 115174, 'browse_history': [{'product_code': 'S24_2840', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S18_2325', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S12_3990', 'quantity': '1', 'in_shopping_cart': False}, {'product_code': 'S12_4675', 'quantity': '9', 'in_shopping_cart': True}, {'product_code': 'S24_4048', 'quantity': '8', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49661430595037831695102805870901703596540529075715833858
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': '92ba9902-0fda-4bd2-b475-701f19234a52', 'customer_number': 266, 'city': 'Münster', 'country': 'Germany', 'credit_limit': 115174, 'browse_history': [{'product_code': 'S24_2840', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S18_2325', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S12_3990', 'quantity': '1', 'in_shopping_cart': False}, {'product_code': 'S12_4675', 'quantity': '9', 'in_shopping_cart': True}, {'product_code': 'S24_4048', 'quantity': '8', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 232478), 'overall_product_quantity': 20, 'overall_in_shopping_cart': 19, 'total_different_products': 5}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634940855836367356697338575847426 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': '67c64be9-43d3-4bdc-8fc3-7369fd0dc960', 'customer_number': 404, 'city': 'Strasbourg', 'country': 'France', 'credit_limit': 132986, 'browse_history': [{'product_code': 'S24_4278', 'quantity': '9', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49661430595037831695102805876997107579037490680254431234
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': '67c64be9-43d3-4bdc-8fc3-7369fd0dc960', 'customer_number': 404, 'city': 'Strasbourg', 'country': 'France', 'credit_limit': 132986, 'browse_history': [{'product_code': 'S24_4278', 'quantity': '9', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 254383), 'overall_product_quantity': 9, 'overall_in_shopping_cart': 9, 'total_different_products': 1}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634940875179180470531474090622978 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': '45b50add-8ece-4abc-8b3b-7c3f0d88504e', 'customer_number': 288, 'city': 'Espoo', 'country': 'Finland', 'credit_limit': 37228, 'browse_history': [{'product_code': 'S18_1662', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S32_2206', 'quantity': '1', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49661430595037831695102805880003706092419074399821365250
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': '45b50add-8ece-4abc-8b3b-7c3f0d88504e', 'customer_number': 288, 'city': 'Espoo', 'country': 'Finland', 'credit_limit': 37228, 'browse_history': [{'product_code': 'S18_1662', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S32_2206', 'quantity': '1', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 277527), 'overall_product_quantity': 2, 'overall_in_shopping_cart': 1, 'total_different_products': 2}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634940893313067764750911711215618 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': '5f04b540-5fc1-4e8a-a963-da540259ab02', 'customer_number': 404, 'city': 'Charleroi', 'country': 'Belgium', 'credit_limit': 78934, 'browse_history': [{'product_code': 'S50_1341', 'quantity': '9', 'in_shopping_cart': True}, {'product_code': 'S12_3891', 'quantity': '9', 'in_shopping_cart': True}, {'product_code': 'S32_4289', 'quantity': '3', 'in_shopping_cart': True}, {'product_code': 'S12_4473', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S18_1662', 'quantity': '2', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49661430595037831695102805881467715259972390605268451330
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': '5f04b540-5fc1-4e8a-a963-da540259ab02', 'customer_number': 404, 'city': 'Charleroi', 'country': 'Belgium', 'credit_limit': 78934, 'browse_history': [{'product_code': 'S50_1341', 'quantity': '9', 'in_shopping_cart': True}, {'product_code': 'S12_3891', 'quantity': '9', 'in_shopping_cart': True}, {'product_code': 'S32_4289', 'quantity': '3', 'in_shopping_cart': True}, {'product_code': 'S12_4473', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S18_1662', 'quantity': '2', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 305153), 'overall_product_quantity': 25, 'overall_in_shopping_cart': 25, 'total_different_products': 5}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634940913864806698199607681220610 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': '48d80d8c-5f98-4e15-b170-1d334c027f1c', 'customer_number': 295, 'city': 'Makati City', 'country': 'Philippines', 'credit_limit': 8904, 'browse_history': [{'product_code': 'S18_1129', 'quantity': '7', 'in_shopping_cart': False}, {'product_code': 'S24_3432', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S24_2972', 'quantity': '5', 'in_shopping_cart': False}, {'product_code': 'S18_3232', 'quantity': '5', 'in_shopping_cart': False}, {'product_code': 'S10_4698', 'quantity': '2', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49661430595037831695102805883275059360296261565051568130
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': '48d80d8c-5f98-4e15-b170-1d334c027f1c', 'customer_number': 295, 'city': 'Makati City', 'country': 'Philippines', 'credit_limit': 8904, 'browse_history': [{'product_code': 'S18_1129', 'quantity': '7', 'in_shopping_cart': False}, {'product_code': 'S24_3432', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S24_2972', 'quantity': '5', 'in_shopping_cart': False}, {'product_code': 'S18_3232', 'quantity': '5', 'in_shopping_cart': False}, {'product_code': 'S10_4698', 'quantity': '2', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 330564), 'overall_product_quantity': 23, 'overall_in_shopping_cart': 2, 'total_different_products': 5}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634940936834397270877562000637954 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': '4ec4b5c5-a391-4a3e-9403-659f0d54b0d7', 'customer_number': 468, 'city': 'Stuttgart', 'country': 'Germany', 'credit_limit': 88703, 'browse_history': [{'product_code': 'S12_4675', 'quantity': '9', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49661430595037831695102805885304845811429224361700098050
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': '4ec4b5c5-a391-4a3e-9403-659f0d54b0d7', 'customer_number': 468, 'city': 'Stuttgart', 'country': 'Germany', 'credit_limit': 88703, 'browse_history': [{'product_code': 'S12_4675', 'quantity': '9', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 354621), 'overall_product_quantity': 9, 'overall_in_shopping_cart': 9, 'total_different_products': 1}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634940947714729647409224572993538 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': '3a5a3cb8-af39-465e-be91-c4d08cde2270', 'customer_number': 120, 'city': 'Charleroi', 'country': 'Belgium', 'credit_limit': 9068, 'browse_history': [{'product_code': 'S24_3949', 'quantity': '3', 'in_shopping_cart': True}, {'product_code': 'S10_2016', 'quantity': '6', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49661430595037831695102805897215182986272554152001273858
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': '3a5a3cb8-af39-465e-be91-c4d08cde2270', 'customer_number': 120, 'city': 'Charleroi', 'country': 'Belgium', 'credit_limit': 9068, 'browse_history': [{'product_code': 'S24_3949', 'quantity': '3', 'in_shopping_cart': True}, {'product_code': 'S10_2016', 'quantity': '6', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 387451), 'overall_product_quantity': 9, 'overall_in_shopping_cart': 9, 'total_different_products': 2}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634940969475394400472549717704706 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': '9242c2fc-6870-438d-9eef-be5c7ff21e1c', 'customer_number': 128, 'city': 'Graz', 'country': 'Austria', 'credit_limit': 111360, 'browse_history': [{'product_code': 'S24_3856', 'quantity': '3', 'in_shopping_cart': True}, {'product_code': 'S32_2206', 'quantity': '1', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49661430595037831695102805914779666219453505829353816066
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': '9242c2fc-6870-438d-9eef-be5c7ff21e1c', 'customer_number': 128, 'city': 'Graz', 'country': 'Austria', 'credit_limit': 111360, 'browse_history': [{'product_code': 'S24_3856', 'quantity': '3', 'in_shopping_cart': True}, {'product_code': 'S32_2206', 'quantity': '1', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 413172), 'overall_product_quantity': 4, 'overall_in_shopping_cart': 3, 'total_different_products': 2}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634940985191430055462728988884994 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': '3e6896f4-b6e8-43c4-933a-72e2cb14dd82', 'customer_number': 340, 'city': 'Marseille', 'country': 'France', 'credit_limit': 48341, 'browse_history': [{'product_code': 'S10_4698', 'quantity': '8', 'in_shopping_cart': False}, {'product_code': 'S24_3969', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S18_3685', 'quantity': '8', 'in_shopping_cart': False}, {'product_code': 'S24_3432', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S18_4409', 'quantity': '9', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49661430595037831695102805935738813154112336985195544578
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': '3e6896f4-b6e8-43c4-933a-72e2cb14dd82', 'customer_number': 340, 'city': 'Marseille', 'country': 'France', 'credit_limit': 48341, 'browse_history': [{'product_code': 'S10_4698', 'quantity': '8', 'in_shopping_cart': False}, {'product_code': 'S24_3969', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S18_3685', 'quantity': '8', 'in_shopping_cart': False}, {'product_code': 'S24_3432', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S18_4409', 'quantity': '9', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 435762), 'overall_product_quantity': 38, 'overall_in_shopping_cart': 0, 'total_different_products': 5}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634940990027133333921245687709698 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': '62b13da8-70ff-4646-99c4-9575a4317d52', 'customer_number': 318, 'city': 'Reims', 'country': 'France', 'credit_limit': 130256, 'browse_history': [{'product_code': 'S12_1666', 'quantity': '10', 'in_shopping_cart': True}, {'product_code': 'S18_1129', 'quantity': '7', 'in_shopping_cart': True}, {'product_code': 'S700_2834', 'quantity': '3', 'in_shopping_cart': True}, {'product_code': 'S24_3432', 'quantity': '7', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49661430595037831695102805945181732731122207599129264130
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': '62b13da8-70ff-4646-99c4-9575a4317d52', 'customer_number': 318, 'city': 'Reims', 'country': 'France', 'credit_limit': 130256, 'browse_history': [{'product_code': 'S12_1666', 'quantity': '10', 'in_shopping_cart': True}, {'product_code': 'S18_1129', 'quantity': '7', 'in_shopping_cart': True}, {'product_code': 'S700_2834', 'quantity': '3', 'in_shopping_cart': True}, {'product_code': 'S24_3432', 'quantity': '7', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 460944), 'overall_product_quantity': 27, 'overall_in_shopping_cart': 20, 'total_different_products': 4}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634941006952094808526054133596162 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': 'e167451c-385d-4c3d-be42-69ed61d47790', 'customer_number': 264, 'city': 'Bergen', 'country': 'Norway', 'credit_limit': -11534, 'browse_history': [{'product_code': 'S18_3259', 'quantity': '4', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49661430595037831695102805966392336236260881898187784194
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': 'e167451c-385d-4c3d-be42-69ed61d47790', 'customer_number': 264, 'city': 'Bergen', 'country': 'Norway', 'credit_limit': -11534, 'browse_history': [{'product_code': 'S18_3259', 'quantity': '4', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 485678), 'overall_product_quantity': 4, 'overall_in_shopping_cart': 0, 'total_different_products': 1}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634941022668130463516233404776450 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': '5f0f582f-ac88-4b64-a2aa-9f4475f621e0', 'customer_number': 130, 'city': 'Central Hong Kong', 'country': 'Hong Kong', 'credit_limit': 65662, 'browse_history': [{'product_code': 'S18_4027', 'quantity': '10', 'in_shopping_cart': True}, {'product_code': 'S18_4522', 'quantity': '3', 'in_shopping_cart': False}, {'product_code': 'S18_1984', 'quantity': '10', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49661430595037831695102805971801070353216734337651703810
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': '5f0f582f-ac88-4b64-a2aa-9f4475f621e0', 'customer_number': 130, 'city': 'Central Hong Kong', 'country': 'Hong Kong', 'credit_limit': 65662, 'browse_history': [{'product_code': 'S18_4027', 'quantity': '10', 'in_shopping_cart': True}, {'product_code': 'S18_4522', 'quantity': '3', 'in_shopping_cart': False}, {'product_code': 'S18_1984', 'quantity': '10', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 509859), 'overall_product_quantity': 23, 'overall_in_shopping_cart': 20, 'total_different_products': 3}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634941040802017757735671025369090 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': 'eb253696-4e65-469c-a605-db32032a90f8', 'customer_number': 119, 'city': 'Auckland', 'country': 'New Zealand', 'credit_limit': 94388, 'browse_history': [{'product_code': 'S24_3949', 'quantity': '3', 'in_shopping_cart': False}, {'product_code': 'S18_2319', 'quantity': '9', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49661430595037831695102805981824274323641627299041771522
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': 'eb253696-4e65-469c-a605-db32032a90f8', 'customer_number': 119, 'city': 'Auckland', 'country': 'New Zealand', 'credit_limit': 94388, 'browse_history': [{'product_code': 'S24_3949', 'quantity': '3', 'in_shopping_cart': False}, {'product_code': 'S18_2319', 'quantity': '9', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 533885), 'overall_product_quantity': 12, 'overall_in_shopping_cart': 0, 'total_different_products': 2}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634941050473424314652704423018498 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': 'd4ad405d-ba0c-4dc0-a0e5-052f4ce32163', 'customer_number': 438, 'city': 'Bruxelles', 'country': 'Belgium', 'credit_limit': 47955, 'browse_history': [{'product_code': 'S24_3856', 'quantity': '6', 'in_shopping_cart': True}, {'product_code': 'S24_3969', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S700_1691', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S18_3259', 'quantity': '10', 'in_shopping_cart': False}, {'product_code': 'S18_3782', 'quantity': '1', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49661430595037831695102805982636672474422658173163798530
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': 'd4ad405d-ba0c-4dc0-a0e5-052f4ce32163', 'customer_number': 438, 'city': 'Bruxelles', 'country': 'Belgium', 'credit_limit': 47955, 'browse_history': [{'product_code': 'S24_3856', 'quantity': '6', 'in_shopping_cart': True}, {'product_code': 'S24_3969', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S700_1691', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S18_3259', 'quantity': '10', 'in_shopping_cart': False}, {'product_code': 'S18_3782', 'quantity': '1', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 556936), 'overall_product_quantity': 23, 'overall_in_shopping_cart': 6, 'total_different_products': 5}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634941067398385789257512868904962 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': '20bf9445-f27b-494e-b8fc-4547c188b607', 'customer_number': 320, 'city': 'Las Vegas', 'country': 'USA', 'credit_limit': 137870, 'browse_history': [{'product_code': 'S18_1129', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S72_1253', 'quantity': '9', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49661430595037831695102805983914507065755321554425610242
2025-03-15 07:09:47 root         INFO     Processed User Session {'session_id': '20bf9445-f27b-494e-b8fc-4547c188b607', 'customer_number': 320, 'city': 'Las Vegas', 'country': 'USA', 'credit_limit': 137870, 'browse_history': [{'product_code': 'S18_1129', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S72_1253', 'quantity': '9', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 3, 15, 7, 9, 47, 581634), 'overall_product_quantity': 13, 'overall_in_shopping_cart': 9, 'total_different_products': 2}
2025-03-15 07:09:47 root         INFO     Produced record 49661430722062876345935634941077069792346174546266554370 to Shard shardId-000000000000


2025-03-15 07:09:47 root         INFO     Read User Session {'session_id': 'd62021b5-ef63-45f9-95a6-28a86ba4e034', 'customer_number': 357, 'city': 'Münster', 'country': 'Germany', 'credit_limit': 92860, 'browse_history': [{'product_code': 'S24_2841', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S24_2000', 'quantity': '8', 'in_shopping_cart': False}, {'product_code': 'S10_2016', 'quantity': '5', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49661430595037831695102805985944293516888284557232570370
